Device_Name,IP_Address,Frequency,,,,,,
4165 Hurley CE2 .22,10.4.165.22,2462,,,,,,
4165 Hurley CE2 .21,10.4.165.21,2412,,,,,,
4159 Abesville C9+ .94,10.4.159.94,924.5,,,,,,
4159 Abesville C9+ .93,10.4.159.93,905.5,,,,,,
4159 Abesville C9+ .92,10.4.159.92,924.5,,,,,,
4159 Abesville C9+ .91,10.4.159.91,905.5,,,,,,
4159 Abesville CE2 .24,10.4.159.24,2462,,,,,,
4159 Abesville CE2 .23,10.4.159.23,2412,,,,,,
4159 Abesville CE2 .22,10.4.159.22,2462,,,,,,
4159 Abesville CE2 .21,10.4.159.21,2412,,,,,,
4147 Blue Eye C9 .96,10.4.147.96,None,,,,,,
4147 Blue Eye C9 .95,10.4.147.95,915,,,,,,
4147 Blue Eye C9 .94,10.4.147.94,906,,,,,,
4147 Blue Eye C9 .93,10.4.147.93,None,,,,,,
4147 Blue Eye C9 .92,10.4.147.92,None,,,,,,
4147 Blue Eye C9 .91,10.4.147.91,None,,,,,,
4147 Blue Eye C2 .20,10.4.147.20,2437,,,,,,
4146 Maples Silo C9+ .96,10.4.146.96,924.5,,,,,,
4144 Spitfire C9 .96,10.4.144.96,906,,,,,,
4144 Spitfire C9 .95,10.4.144.95,916,,,,,,
4144 Spitfire C9 .94,10.4.144.94,906,,,,,,
4144 Spitfire C9 .93,10.4.144.93,None,,,,,,
4144 Spitfire C9 .92,10.4.144.92,None,,,,,,
4144 Spitfire C9 .91,10.4.144.91,None,,,,,,
4144 Spitfire RM5 .55,10.4.144.55,5235,,,,,,
4144 Spitfire RM5 .53,10.4.144.53,5180,,,,,,
4144 Spitfire RM5 .51,10.4.144.51,5155,,,,,,
4144 Spitfire RM2 .25,10.4.144.25,2464,,,,,,
4140 Possum Trot C9 .96,10.4.140.96,918,,,,,,
4140 Possum Trot C9 .95,10.4.140.95,None,,,,,,
4140 Possum Trot C9 .94,10.4.140.94,906,,,,,,
4140 Possum Trot C9 .93,10.4.140.93,924,,,,,,
4140 Possum Trot C9 .92,10.4.140.92,906,,,,,,
4140 Possum Trot C9 .91,10.4.140.91,None,,,,,,
4140 Possum Trot RM5 .55,10.4.140.55,5235,,,,,,
4140 Possum Trot RM5 .53,10.4.140.53,5220,,,,,,
4140 Possum Trot RM5 .51,10.4.140.51,5165,,,,,,
4138 Falcon C9 .96,10.4.138.96,924,,,,,,
4138 Falcon C9 .95,10.4.138.95,915,,,,,,
4138 Falcon C9 .94,10.4.138.94,None,,,,,,
4138 Falcon C9 .93,10.4.138.93,None,,,,,,
4138 Falcon C9 .92,10.4.138.92,None,,,,,,
4138 Falcon C9 .91,10.4.138.91,906,,,,,,
4138 Falcon C2 .26,10.4.138.26,2450,,,,,,
4138 Falcon C2 .20,10.4.138.20,2432,,,,,,
4137 Haseltine Rd C9 .96,10.4.137.96,924,,,,,,
4137 Haseltine Rd C9 .95,10.4.137.95,915,,,,,,
4137 Haseltine Rd C9 .94,10.4.137.94,906,,,,,,
4137 Haseltine Rd C9 .93,10.4.137.93,924,,,,,,
4137 Haseltine Rd C9 .92,10.4.137.92,915,,,,,,
4137 Haseltine Rd C9 .91,10.4.137.91,906,,,,,,
4137 Haseltine Rd PBEM5 .56,10.4.137.56,5225,,,,,,
4137 Haseltine Rd RM5 .52,10.4.137.52,5220,,,,,,
